date,lst_token,protocol,underlying,exchange_rate,staking_apy_pct,rewards_apy_pct,total_apy_pct,tvl_usd,validators_count,entry_queue_days,exit_queue_days,withdrawal_time_hours,slashing_events_30d,chain,peg_deviation_pct
2025-10-18,ankrETH,Ankr,ETH,1.03567,4.31,1.43,5.58,7852450261,398517,27,9,36,3,Optimism,0.1873
2025-10-19,cbETH,Coinbase,ETH,1.040123,3.85,0.89,4.56,19167064870,198944,25,11,38,1,Base,-0.3157
2025-10-20,wstETH,Lido,ETH,1.047592,5.41,1.65,7.44,9686998095,110833,0,4,26,3,Ethereum,-0.1797
2025-10-21,rETH,Rocket Pool,ETH,1.047198,5.98,0.76,8.06,20701907200,189586,8,13,25,1,Arbitrum,0.1564
2025-10-22,sfrxETH,Frax,ETH,1.043636,3.95,1.4,4.91,20430334518,433570,11,9,23,1,Optimism,0.3353
2025-10-23,osETH,StakeWise,ETH,1.046745,5.45,2.04,6.26,20635878926,448896,7,1,48,2,Base,-0.2526
2025-10-24,ETHx,Stader,ETH,1.037172,2.66,1.04,3.09,3898406779,422538,8,13,47,2,Ethereum,-0.1898
2025-10-25,ankrETH,Ankr,ETH,1.039695,4.7,1.0,6.06,16221914633,153997,8,5,59,3,Arbitrum,0.0853
2025-10-26,cbETH,Coinbase,ETH,1.041272,3.31,1.2,4.1,15256992522,261419,24,3,28,2,Optimism,0.3665
2025-10-27,wstETH,Lido,ETH,1.040445,3.53,0.98,4.18,18342805324,128619,23,3,56,2,Base,0.3975
2025-10-28,rETH,Rocket Pool,ETH,1.054372,2.65,0.97,2.93,236591380,58642,22,12,23,2,Ethereum,-0.4754
2025-10-29,sfrxETH,Frax,ETH,1.058405,4.54,1.05,5.68,21869973431,266601,19,8,30,2,Arbitrum,0.4625
2025-10-30,osETH,StakeWise,ETH,1.052932,4.75,1.78,5.81,16505950033,195724,5,2,53,1,Optimism,-0.2518
2025-10-31,ETHx,Stader,ETH,1.048027,4.38,0.78,5.92,9954589042,304428,29,1,14,2,Base,-0.4679
2025-11-01,ankrETH,Ankr,ETH,1.051427,4.64,1.64,6.03,10766644133,48281,4,3,66,1,Ethereum,0.1531
2025-11-02,cbETH,Coinbase,ETH,1.063506,5.36,1.91,7.3,18253923121,215780,13,7,72,1,Arbitrum,-0.0698
2025-11-03,wstETH,Lido,ETH,1.058145,4.38,0.55,4.84,22496223117,272735,8,8,58,1,Optimism,0.4796
2025-11-04,rETH,Rocket Pool,ETH,1.065392,3.87,0.66,4.81,15369190623,473151,23,11,15,3,Base,0.4031
2025-11-05,sfrxETH,Frax,ETH,1.056518,4.6,1.35,5.68,19606682708,201506,4,13,61,3,Ethereum,0.0126
2025-11-06,osETH,StakeWise,ETH,1.065721,3.4,0.99,4.54,24414751751,241766,22,7,63,1,Arbitrum,-0.3449
2025-11-07,ETHx,Stader,ETH,1.058102,5.82,1.54,6.93,5846629952,204447,17,8,9,0,Optimism,-0.0026
2025-11-08,ankrETH,Ankr,ETH,1.06974,4.17,1.06,4.89,8829352676,404142,25,12,28,3,Base,0.1251
2025-11-09,cbETH,Coinbase,ETH,1.052448,5.96,1.54,6.95,10983457418,48833,29,13,51,1,Ethereum,0.1367
2025-11-10,wstETH,Lido,ETH,1.072461,2.75,1.0,3.04,15511187387,122100,0,3,6,2,Arbitrum,-0.238
2025-11-11,rETH,Rocket Pool,ETH,1.058758,3.38,1.16,4.47,8383879217,343223,16,13,26,0,Optimism,-0.419
2025-11-12,sfrxETH,Frax,ETH,1.059535,5.19,1.54,7.1,17687323220,272584,16,6,32,0,Base,-0.3876
2025-11-13,osETH,StakeWise,ETH,1.074459,3.51,0.42,4.37,109273369,142696,14,3,14,3,Ethereum,-0.1425
2025-11-14,ETHx,Stader,ETH,1.072233,3.7,0.67,5.04,6746356746,219175,3,5,14,1,Arbitrum,-0.4102
2025-11-15,ankrETH,Ankr,ETH,1.058065,5.29,1.26,6.85,1837985157,166587,11,4,36,1,Optimism,0.4525
2025-11-16,cbETH,Coinbase,ETH,1.055875,2.87,0.41,3.28,15986641810,470682,28,10,11,1,Base,0.1941
2025-11-17,wstETH,Lido,ETH,1.066688,3.42,0.85,3.85,15672660910,346816,6,1,24,1,Ethereum,0.2518
2025-11-18,rETH,Rocket Pool,ETH,1.064843,3.15,0.88,4.06,21457103873,311096,24,3,32,0,Arbitrum,0.0927
2025-11-19,sfrxETH,Frax,ETH,1.063772,3.92,1.56,4.88,12369409103,376689,22,1,71,0,Optimism,-0.2325
2025-11-20,osETH,StakeWise,ETH,1.062191,4.87,1.15,6.58,2560961432,474907,17,10,15,3,Base,-0.3422
2025-11-21,ETHx,Stader,ETH,1.081325,4.52,1.78,5.37,9181283558,57437,18,12,3,0,Ethereum,-0.3743
2025-11-22,ankrETH,Ankr,ETH,1.059584,5.04,0.86,5.81,8361906225,389451,21,11,67,2,Arbitrum,-0.4195
2025-11-23,cbETH,Coinbase,ETH,1.074981,4.02,1.48,4.49,18134300524,30649,27,2,56,2,Optimism,-0.0282
2025-11-24,wstETH,Lido,ETH,1.07064,4.21,0.55,4.7,15460856513,44217,27,3,69,1,Base,0.4301
2025-11-25,rETH,Rocket Pool,ETH,1.072222,5.98,0.77,7.9,14285018929,235869,20,10,41,2,Ethereum,-0.283
2025-11-26,sfrxETH,Frax,ETH,1.065191,5.73,1.13,7.63,3310960585,130985,22,0,59,3,Arbitrum,0.1473
2025-11-27,osETH,StakeWise,ETH,1.083176,2.69,0.86,2.99,10355349749,181457,11,5,52,2,Optimism,0.1705
2025-11-28,ETHx,Stader,ETH,1.094932,3.83,1.34,4.38,5410508611,35111,19,10,58,0,Base,-0.228
2025-11-29,ankrETH,Ankr,ETH,1.088374,4.24,0.44,5.57,19163973329,55714,19,14,66,0,Ethereum,0.1888
2025-11-30,cbETH,Coinbase,ETH,1.091928,5.42,0.63,6.6,18796386364,465582,15,8,58,0,Arbitrum,0.1506
2025-12-01,wstETH,Lido,ETH,1.081428,3.73,1.25,4.52,11464440056,164965,18,9,13,2,Optimism,-0.4089
2025-12-02,rETH,Rocket Pool,ETH,1.075593,5.61,1.28,6.34,753034433,26568,26,2,3,2,Base,-0.0884
2025-12-03,sfrxETH,Frax,ETH,1.088263,5.44,1.12,7.48,1180108375,357398,3,8,48,1,Ethereum,-0.4185
2025-12-04,osETH,StakeWise,ETH,1.078652,3.32,1.22,4.57,4626282504,315547,4,12,48,2,Arbitrum,0.104
2025-12-05,ETHx,Stader,ETH,1.074269,5.07,1.76,6.49,15109216289,492776,6,4,8,0,Optimism,0.4538
2025-12-06,ankrETH,Ankr,ETH,1.075786,3.87,1.12,5.06,6619582867,60844,24,9,25,3,Base,0.3356
2025-12-07,cbETH,Coinbase,ETH,1.103843,4.94,1.91,6.82,8229569440,435940,14,7,16,1,Ethereum,0.0156
2025-12-08,wstETH,Lido,ETH,1.082001,5.66,1.1,7.0,20039411983,298809,17,7,40,3,Arbitrum,-0.2428
2025-12-09,rETH,Rocket Pool,ETH,1.10873,2.91,1.13,3.78,252852849,443403,21,2,1,1,Optimism,-0.4551
2025-12-10,sfrxETH,Frax,ETH,1.084235,5.82,0.84,7.39,7420398194,318823,8,5,67,3,Base,-0.1509
2025-12-11,osETH,StakeWise,ETH,1.108295,3.16,0.75,3.88,14800635744,36083,14,2,51,3,Ethereum,-0.371
2025-12-12,ETHx,Stader,ETH,1.102718,3.06,0.9,4.15,4258747806,155466,4,0,25,2,Arbitrum,-0.4512
2025-12-13,ankrETH,Ankr,ETH,1.105051,2.73,0.99,3.37,10170451641,329721,25,7,43,1,Optimism,-0.3591
2025-12-14,cbETH,Coinbase,ETH,1.106039,4.1,0.58,5.41,17456360289,181185,0,3,30,3,Base,0.1202
2025-12-15,wstETH,Lido,ETH,1.098786,4.95,0.64,6.93,23864319158,15369,0,0,31,3,Ethereum,0.3788
2025-12-16,rETH,Rocket Pool,ETH,1.07901,4.02,1.53,4.92,15046573108,383950,6,0,27,3,Arbitrum,0.0378
2025-12-17,sfrxETH,Frax,ETH,1.096739,5.86,2.12,6.74,562653055,103271,25,8,39,1,Optimism,-0.0147
2025-12-18,osETH,StakeWise,ETH,1.0,4.17,1.53,5.51,24801126460,145451,25,1,9,1,Base,-0.2318
2025-12-19,ETHx,Stader,ETH,1.00114,5.38,1.05,6.48,10593302810,293018,15,10,62,1,Ethereum,-0.2019
2025-12-20,ankrETH,Ankr,ETH,1.002145,5.56,1.07,7.0,1958565956,208157,9,7,25,1,Arbitrum,0.0699
2025-12-21,cbETH,Coinbase,ETH,1.003439,4.82,1.31,5.91,9903722044,13056,26,12,37,2,Optimism,0.2929
2025-12-22,wstETH,Lido,ETH,1.004051,4.69,0.93,6.07,10940802416,64872,19,13,59,0,Base,0.4868
2025-12-23,rETH,Rocket Pool,ETH,1.005968,2.9,0.9,3.79,13755398346,438483,14,9,36,3,Ethereum,-0.0188
2025-12-24,sfrxETH,Frax,ETH,1.00689,3.84,1.35,4.38,832543464,388619,15,14,46,3,Arbitrum,-0.0155
2025-12-25,osETH,StakeWise,ETH,1.005858,4.38,1.49,5.93,6382963999,119070,27,4,56,0,Optimism,0.3212
2025-12-26,ETHx,Stader,ETH,1.008367,5.2,1.18,5.97,1852322839,201069,1,1,36,1,Base,0.0594
2025-12-27,ankrETH,Ankr,ETH,1.009202,5.08,1.52,5.94,608448690,320444,16,8,47,2,Ethereum,-0.362
2025-12-28,cbETH,Coinbase,ETH,1.011867,5.32,1.51,7.16,1892193570,425317,17,10,16,1,Arbitrum,-0.1633
